frame,frame_ms,loaded_chunks,visible_chunks,rendered_chunks,culled_chunks,budget_skipped,total_vertices,total_indices,lod_full,lod_medium,lod_far,regenerations,stream_last_ms,stream_avg_ms,stream_max_ms,queued_candidates,queued_generations,completed_async,immediate_loaded,unloaded,pending_generations
0,6.726,4,3,2,1,0,792,1188,2,0,0,1,0.067,0.348,70.066,0,0,0,0,0,169
1,16.626,4,3,2,1,0,792,1188,2,0,0,1,0.060,0.347,70.066,0,0,0,0,0,169
2,9.954,4,3,2,1,0,792,1188,2,0,0,1,0.399,0.347,70.066,0,0,0,0,0,169
3,8.259,4,3,2,1,0,792,1188,2,0,0,1,0.140,0.346,70.066,0,0,0,0,0,169
4,6.460,4,3,2,1,0,792,1188,2,0,0,1,0.061,0.345,70.066,0,0,0,0,0,169
5,6.342,4,3,2,1,0,792,1188,2,0,0,1,0.060,0.344,70.066,0,0,0,0,0,169
6,6.352,4,3,2,1,0,792,1188,2,0,0,1,0.059,0.343,70.066,0,0,0,0,0,169
7,7.366,5,4,3,1,0,1048,1572,2,1,0,2,0.062,0.341,70.066,0,0,1,0,0,168
8,6.416,5,4,3,1,0,1048,1572,2,1,0,1,0.061,0.340,70.066,0,0,0,0,0,168
9,6.395,5,4,3,1,0,1048,1572,2,1,0,1,0.060,0.339,70.066,0,0,0,0,0,168
10,6.257,5,4,3,1,0,1048,1572,2,1,0,1,0.061,0.338,70.066,0,0,0,0,0,168
11,6.260,5,4,3,1,0,1048,1572,2,1,0,1,0.060,0.337,70.066,0,0,0,0,0,168
12,6.297,5,4,3,1,0,1048,1572,2,1,0,1,0.060,0.336,70.066,0,0,0,0,0,168
13,6.635,5,4,3,1,0,1048,1572,2,1,0,1,0.062,0.335,70.066,0,0,0,0,0,168
14,6.444,5,4,3,1,0,1048,1572,2,1,0,1,0.061,0.334,70.066,0,0,0,0,0,168
15,6.317,5,4,3,1,0,1048,1572,2,1,0,1,0.062,0.333,70.066,0,0,0,0,0,168
16,6.394,5,4,3,1,0,1048,1572,2,1,0,1,0.061,0.332,70.066,0,0,0,0,0,168
17,6.332,5,4,3,1,0,1048,1572,2,1,0,1,0.061,0.331,70.066,0,0,0,0,0,168
18,6.298,5,4,3,1,0,1048,1572,2,1,0,1,0.060,0.329,70.066,0,0,0,0,0,168
19,6.316,5,4,3,1,0,1048,1572,2,1,0,1,0.061,0.328,70.066,0,0,0,0,0,168
20,6.249,5,4,3,1,0,1048,1572,2,1,0,1,0.061,0.327,70.066,0,0,0,0,0,168
21,7.315,6,5,4,1,0,1304,1956,2,2,0,2,0.063,0.326,70.066,0,0,1,0,0,167
22,6.320,6,5,4,1,0,1304,1956,2,2,0,1,0.062,0.325,70.066,0,0,0,0,0,167
23,6.349,6,5,4,1,0,1304,1956,2,2,0,1,0.062,0.324,70.066,0,0,0,0,0,167
24,6.412,6,5,4,1,0,1304,1956,2,2,0,1,0.065,0.323,70.066,0,0,0,0,0,167
25,6.311,6,5,4,1,0,1304,1956,2,2,0,1,0.062,0.322,70.066,0,0,0,0,0,167
26,6.276,6,5,4,1,0,1304,1956,2,2,0,1,0.061,0.321,70.066,0,0,0,0,0,167
27,6.340,6,5,4,1,0,1304,1956,2,2,0,1,0.061,0.320,70.066,0,0,0,0,0,167
28,6.320,6,5,4,1,0,1304,1956,2,2,0,1,0.062,0.320,70.066,0,0,0,0,0,167
29,6.329,6,5,4,1,0,1304,1956,2,2,0,1,0.062,0.319,70.066,0,0,0,0,0,167
30,6.262,6,5,4,1,0,1304,1956,2,2,0,1,0.061,0.318,70.066,0,0,0,0,0,167
31,6.739,6,5,4,1,0,1304,1956,2,2,0,1,0.061,0.317,70.066,0,0,0,0,0,167
32,6.365,6,5,4,1,0,1304,1956,2,2,0,1,0.062,0.316,70.066,0,0,0,0,0,167
33,6.344,6,5,4,1,0,1304,1956,2,2,0,1,0.063,0.315,70.066,0,0,0,0,0,167
34,6.695,6,5,4,1,0,1304,1956,2,2,0,1,0.062,0.314,70.066,0,0,0,0,0,167
35,6.415,7,5,4,2,0,1304,1956,2,2,0,1,0.082,0.313,70.066,0,0,1,0,0,166
36,6.465,7,5,4,2,0,1304,1956,2,2,0,1,0.059,0.312,70.066,0,0,0,0,0,166
37,6.354,7,5,4,2,0,1304,1956,2,2,0,1,0.061,0.311,70.066,0,0,0,0,0,166
38,6.462,7,5,4,2,0,1304,1956,2,2,0,1,0.061,0.310,70.066,0,0,0,0,0,166
39,6.342,7,5,4,2,0,1304,1956,2,2,0,1,0.059,0.309,70.066,0,0,0,0,0,166
40,6.701,7,5,4,2,0,1304,1956,2,2,0,1,0.060,0.309,70.066,0,0,0,0,0,166
41,6.329,7,5,4,2,0,1304,1956,2,2,0,1,0.060,0.308,70.066,0,0,0,0,0,166
42,6.317,7,5,4,2,0,1304,1956,2,2,0,1,0.058,0.307,70.066,0,0,0,0,0,166
43,6.743,7,5,4,2,0,1304,1956,2,2,0,1,0.060,0.306,70.066,0,0,0,0,0,166
44,6.301,7,5,4,2,0,1304,1956,2,2,0,1,0.060,0.305,70.066,0,0,0,0,0,166
